Monster	Type	AC	HD	Save	Campaign Setting	Source	Pg. #	Edition	Legal Status	OGL Source
Viper Tree					Forgotten Realms	For Duty and Deity	63	AD&D2		
Viper Tree					Planescape	Planes of Chaos [Monstrous Supplement]	30	AD&D2		
Viper Tree, Larval Form					Planescape	Planes of Chaos [Monstrous Supplement]	30	AD&D2		
Viper Vines					Generic	Bane of Llewellyn (C5)	30	AD&D1		
Viper Vines					Generic	Polyhedron #19	19	AD&D1		
Viper, Azure Drake					Diablo	Diablo II: The Awakening	73	AD&D2		
Viper, Cave Viper					Diablo	Diablo II: The Awakening	73	AD&D2		
Viper, Claw Viper					Diablo	Diablo II: The Awakening	73	AD&D2		
Viper, Fire Drake					Diablo	Diablo II: The Awakening	73	AD&D2		
Viper, Gold Viper					Diablo	Diablo II: The Awakening	73	AD&D2		
Viper, Salamander					Diablo	Diablo II: The Awakening	73	AD&D2		
Viper, Serpent Magus					Diablo	Diablo II: The Awakening	73	AD&D2		
Viper, Tomb Viper					Diablo	Diablo II: The Awakening	73	AD&D2		
Viper, Venom Spitter					Diablo	Diablo II: The Awakening	73	AD&D2		
Viperfish					Generic	Dragon #235	47	AD&D2		
Virtues					Generic	Dragon #35	42	AD&D1		
Virus, Combustion					Ravenloft	Ravenloft Monstrous Compendium Appendix III: Creatures of Darkness 	113	AD&D2		
Virus, Crystal					Ravenloft	Ravenloft Monstrous Compendium Appendix III: Creatures of Darkness 	113	AD&D2		
Virus, Petrification					Ravenloft	Ravenloft Monstrous Compendium Appendix III: Creatures of Darkness 	114	AD&D2		
Virus, Phobia					Ravenloft	Ravenloft Monstrous Compendium Appendix III: Creatures of Darkness 	114	AD&D2		
Virus, Psionic					Ravenloft	Ravenloft Monstrous Compendium Appendix III: Creatures of Darkness 	115	AD&D2		
Virus, Shadow					Ravenloft	Ravenloft Monstrous Compendium Appendix III: Creatures of Darkness 	115	AD&D2		
Visage					Planescape	Dead Gods	158	AD&D2		
Visceraith					Generic	Dragon #271	79	AD&D2		
Vishap					Al-Qadim	Monstrous Compendium Al-Qadim Appendix (MC13)		AD&D2		
Vision					Generic	Fiend Folio	93	AD&D1		
Vita					Generic	Vortex of Madness and Other Planar Perils	49	AD&D2		
Vitriolus					Generic	Baltron's Beacon (I7)	3	AD&D1		
Vizier's Turban					Al-Qadim	Corsairs of the Great Sea		AD&D2		
Vizier's Turban					Generic	Monstrous Compendium Annual Volume Two 	110	AD&D2		
Vlaakith the Lich-Queen					Planescape	Guide to the Astral Plane	52	AD&D2		
Vlkodlak					Generic	Best of Dragon, Vol. II	60	D&D?		
Vlkodlak					Generic	Dragon #25	42	D&D?		
Voat					Savage Coast	Savage Coast Monstrous Compendium Appendix		AD&D2		
Voat, Herathian					Savage Coast	Savage Coast Monstrous Compendium Appendix		AD&D2		
Vodoni, Breeder					Spelljammer	Under the Dark Fist (SJA4)	61	AD&D2		
Vodoni, Conqueror					Spelljammer	Under the Dark Fist (SJA4)	62	AD&D2		
Vodoni, Enforcer					Spelljammer	Under the Dark Fist (SJA4)	62	AD&D2		
Vodyanoi					Generic	Fiend Folio	93	AD&D1		
Vodyanoi, Marine Variety					Generic	Dragon #68	40	AD&D1		
Vohu Manah					Generic	Dragon #12	8	D&D?		
Volheller					Generic	Dragon #108	45	AD&D1		
Volt					Generic	Fiend Folio	94	AD&D1		
Volt					Generic	Monstrous Compendium Fiend Folio Appendix (MC14)		AD&D2		
Voor Larva					Generic	Dawn of the Overmind	61	AD&D2		
Vor					Generic	Dragon #149	25	AD&D1		
Vore Lekiniskiy, Master Fire Worm					Birthright	Dragon #248	54	AD&D2		
Vorlog					Ravenloft	Ravenloft Monstrous Compendium Appendix III: Creatures of Darkness 	116	AD&D2		
Vorlog					Ravenloft	Ravenloft Monstrous Compendium Appendix III: Creatures of Darkness 	117	AD&D2		
Vorr					Planescape	Planescape Monstrous Compendium Appendix II 	120	AD&D2		
Vorr Shaman					Planescape	Planescape Monstrous Compendium Appendix II 	121	AD&D2		
Vortex					Generic	Fiend Folio	94	AD&D1		
Vortex					Planescape	Planescape Campaign Setting [Monstrous Supplement]	28	AD&D2		
Vortex Spider					Generic	Chronomancer	96	AD&D2		
Vortex Spider					Generic	Monstrous Compendium Annual Volume Three	116	AD&D2		
Vos Hound					Birthright	Blood Spawn	14	AD&D2		
Vreesar					Forgotten Realms	Villains' Lorebook	104	AD&D2		
Vrykolaka					Generic	Dragon #126	19	AD&D1		
Vulcanian Sloth					Mystara	Dragon #161	100	D&D?		
Vulchling					Generic	Monster Manual II	125	AD&D1		
Vulture					Generic	Dragon #66	56	AD&D1		
Vulture Lion					Melniboné	Deities and Demigods Cyclopedia	95	AD&D1		
Vulture, Common					Forgotten Realms	Monstrous Compendium Volume Three: Forgotten Realms Appendix		AD&D2		
Vulture, Condor					Forgotten Realms	Monstrous Compendium Volume Three: Forgotten Realms Appendix		AD&D2		
Vulture, Giant					Forgotten Realms	Monstrous Compendium Volume Three: Forgotten Realms Appendix		AD&D2		
Vulture, Giant					Generic	Monster Manual II	125	AD&D1		
Vulture, Gray					Ravenloft	Terrors from Above	148	AD&D2		
Vulture, Ordinary					Generic	Monster Manual II	125	AD&D1		
Vulturehound					Savage Coast	Savage Coast Monstrous Compendium Appendix		AD&D2		
Vulturehounds					Generic	Dragon #37	48	AD&D1		
Vurgen					Generic	Dragon #89 [Creature Catalog insert]	C-19	AD&D1		
Vurgens					Forgotten Realms	Monstrous Compendium Volume Three: Forgotten Realms Appendix		AD&D2		
Waff					Birthright	Blood Spawn	56	AD&D2		
Wailing Wight					Generic	Dragon #249	41	AD&D2		
Wakaleo					Generic	Dragon #186	46	D&D?		
Walking Dead					Generic	Dragon #138	26	AD&D1		
Walking Statue of Waterdeep					Forgotten Realms	Volo's Guide to Waterdeep	9	AD&D2		
Walking Stick					Generic	Adventure Pack I (I13)	90	AD&D1		
Walking Trees 					Forgotten Realms	Pools of Darkness [Adventurer's Journal]	17	AD&D2		
Wall Walker					Dark Sun	City by the Silt Sea [Monstrous Supplement]	30	AD&D2		
Wall of Tentacles					Forgotten Realms	Demihuman Deities	23	AD&D2		
Wall of Tentacles					Generic	Priest's Spell Compendium, Volume Three	684	AD&D2		
Wall-Walker					Generic	Monstrous Compendium Annual Volume Two 	112	AD&D2		
Wallara					Savage Coast	Savage Coast Monstrous Compendium Appendix		AD&D2		
Walrus					Generic	Dragon #137	14	AD&D1		
Walruses					Forgotten Realms	Powers & Pantheons	65	AD&D2		
Wandega					Generic	Dragon #149	26	AD&D1		
Wang-Liang					Forgotten Realms (Oriental Adventures)	Monstrous Compendium Kara-Tur Appendix		AD&D2		
Wang-Liang					Generic	Dragon #151	29	AD&D1		
Wang-Liang, Elder Circle					Forgotten Realms (Oriental Adventures)	Monstrous Compendium Kara-Tur Appendix		AD&D2		
Wani (Gargantuan Crocodile), Female					Forgotten Realms (Oriental Adventures)	Dungeon #18	40	AD&D1		
Wani (Gargantuan Crocodile), Male					Forgotten Realms (Oriental Adventures)	Dungeon #18	40	AD&D1		
Wani (Gargantuan Crocodile), Young					Forgotten Realms (Oriental Adventures)	Dungeon #18	40	AD&D1		
War Bird					Birthright	Blood Enemies: Abominations of Cerilia 	40	AD&D2		
War Priest					Spelljammer	Goblin's Return (SJS1)	62	AD&D2		
War Priest					Spelljammer	Heart of the Enemy (SJQ1)	95	AD&D2		
Warden Archons					Generic	Manual of the Planes	123	AD&D1		
Warden Beast					Generic	Monstrous Compendium Outer Planes Appendix		AD&D2		
Warden Beast					Planescape	Planes of Conflict [Monstrous Supplement]	28	AD&D2		
Warith, Swordwraith					Greyhawk	Monstrous Compendium Greyhawk Appendix		AD&D2		
Warlock					Birthright	Blood Enemies: Abominations of Cerilia 	123	AD&D2		
Warrior, Skeleton					Dragonlance	Monstrous Compendium Dragonlance Appendix (MC4)		AD&D2		
Warrior-puppets					Ravenloft	Dungeon #64	54	AD&D2		
Wartle					Generic	Tales of the Outer Planes (OP1)	55	AD&D1		
Wasp					Generic	Monstrous Compendium Volume One		AD&D2		
Wasp, Giant					Generic	Monster Manual	99	AD&D1		
Wasp, Giant					Generic	Complete Starter Set [Monstrous Manual]	22	AD&D2		
Wasp, Giant					Generic	First Quest: The Introduction to the AD&D Game [Monsters & Treasures Book]	22	AD&D2		
Wasp, Giant					Generic	Introduction to Advanced Dungeons & Dragons Game [Monstrous Manual Accessory]	22	AD&D2		
Wasp, Vampire					Ravenloft	Terrors from Above	149	AD&D2		
Wastrel					Planescape	Planescape Monstrous Compendium Appendix II 	122	AD&D2		
Watcher					Generic	I, Tyrant 	78	AD&D2		
Watchghost					Forgotten Realms	Ruins of Undermountain 		AD&D2		
Watchghost					Generic	Wizard's Spell Compendium, Volume One	197	AD&D2		
Watchspider					Forgotten Realms	City of Splendors		AD&D2		
Watchspider					Forgotten Realms	Ruins of Undermountain [Undermountain Adventures]	28	AD&D2		
Water Cat					Generic	Dragon #238	72	AD&D2		
Water Cobra					Lankhmar	Legends & Lore	169	AD&D2		
Water Cobra					Lankhmar	Fritz Leiber's Lankhmar [Adventures in Lankhmar Sourcebook]	96	AD&D2		
Water Hero					Generic	Supplement IV: Gods, Demigods, Heroes	39	D&D1		
Water Horse					Historical	Celts Campaign Sourcebook (HR3)	52	AD&D2		
Water Horse					Historical	Celts Campaign Sourcebook (HR3)	52	AD&D2		
Water Leaper					Historical	Celts Campaign Sourcebook (HR3)	53	AD&D2		
Water Maiden					Birthright	Blood Enemies: Abominations of Cerilia 	123	AD&D2		
Water Monster					Generic	Supplement IV: Gods, Demigods, Heroes	61	D&D1		
Water Weird					Generic	Monster Manual	100	AD&D1		
Water Weird					Generic	Monstrous Compendium Volume Two		AD&D2		
Water Wierds					Generic	Encyclopedia Magica, Volume I	126	AD&D2		
Water Women					Generic	Supplement IV: Gods, Demigods, Heroes	61	D&D1		
Water buffalo					Generic	Encyclopedia Magica, Volume I	49	AD&D2		
Water buffalo					Generic	Encyclopedia Magica, Volume I	218	AD&D2		
Water buffalo					Generic	Encyclopedia Magica, Volume I	226	AD&D2		
Water buffalo					Generic	Encyclopedia Magica, Volume I	236	AD&D2		
Water buffalo					Generic	Encyclopedia Magica, Volume I	322	AD&D2		
Water buffalo					Generic	Encyclopedia Magica, Volume II	426	AD&D2		
Water buffalo					Generic	Encyclopedia Magica, Volume II	711	AD&D2		
Water buffalo					Generic	Encyclopedia Magica, Volume II	811	AD&D2		
Water buffalo					Generic	Encyclopedia Magica, Volume III	1057	AD&D2		
Water-Horse					Generic	Dragon #48	10	AD&D1		
Watroach (War Beetle)					Dark Sun	Dragon #185	24	AD&D2		
Watroach (War Beetle), Undead Watroach					Dark Sun	Dragon #185	24	AD&D2		
Wavefire					Planescape	Planescape Monstrous Compendium Appendix III	116	AD&D2		
Weapon, Living					Dragonlance	Wild Elves (DLS4)	61	AD&D2		
Weasel					Generic	Monster Manual II	125	AD&D1		
Weasel, Giant					Generic	Monster Manual	100	AD&D1		
Weasel, Giant					Generic	Monstrous Compendium Volume Two		AD&D2		
Weasel, Wild					Generic	Monstrous Compendium Volume Two		AD&D2		
Web, Living					Forgotten Realms	Monstrous Compendium Volume Three: Forgotten Realms Appendix		AD&D2		
Web, Living					Generic	Monstrous Compendium Annual Volume Three	117	AD&D2		
Web, Memory					Forgotten Realms	Monstrous Compendium Volume Three: Forgotten Realms Appendix		AD&D2		
Web, Memory					Generic	Monstrous Compendium Annual Volume Three	117	AD&D2		
Web-Spectre					Generic	Dragon #252	67	AD&D2		
Webbird					Generic	Monster Manual II	125	AD&D1		
Webbird					Generic	Monstrous Compendium Annual Volume Two 	113	AD&D2		
Weed Eel					Blackmoor	Supplement II: Blackmoor	21	D&D1		
Weed Giant					Generic	Dragon #116	44	AD&D1		
Weisshund					Greyhawk	Falconmaster (WGA2)	62	AD&D2		
Well Spirit					Generic	Dragon #42	46	AD&D1		
Wemic					Dragonlance	Dragons of Truth (DL13)	32	AD&D1		
Wemic					Dragonlance	Tales of the Lance [World Book of Ansalon]	145	AD&D2		
Wemic					Forgotten Realms	Monstrous Compendium Volume Three: Forgotten Realms Appendix		AD&D2		
Wemic					Generic	Monster Manual II	126	AD&D1		
Wemic					Generic	Monstrous Manual 	357	AD&D2		
Wendeam					Generic	Dragon #224	70	AD&D2		
Wendigo					Generic	Dragon #119	51	AD&D1		
Wendigo					Generic	Dragon #138	32	AD&D1		
Wendigo, Brute					Diablo	Diablo II: The Awakening	74	AD&D2		
Wendigo, Crusher					Diablo	Diablo II: The Awakening	74	AD&D2		
Wendigo, Gargantuan Beast					Diablo	Diablo II: The Awakening	74	AD&D2		
Wendigo, Wailing Beast					Diablo	Diablo II: The Awakening	74	AD&D2		
Wendigo, Yeti					Diablo	Diablo II: The Awakening	74	AD&D2		
Werebadger					Generic	Dragon #40	32	AD&D1		
Werebadger					Ravenloft	Van Richten's Guide to Werebeasts (RR7)	96	AD&D2		
Werebadger					Ravenloft	Van Richten's Monster Hunter's Compendium, Volume One	191	AD&D2		
Werebat ("Man-bat")					Generic	Dragon #90	20	AD&D1		
Werebear					Generic	Imagine #28	12	AD&D1		
Werebear					Generic	Imagine #28	12	AD&D1		
Werebear					Generic	Complete Starter Set [Monstrous Manual]	23	AD&D2		
Werebear					Generic	First Quest: The Introduction to the AD&D Game [Monsters & Treasures Book]	23	AD&D2		
Werebear					Generic	Introduction to Advanced Dungeons & Dragons Game [Monstrous Manual Accessory]	23	AD&D2		
Werebison					Forgotten Realms	Hall of Heroes (FR7)	36	AD&D2		
Werebison					Generic	Dragon #40	32	AD&D1		
Wereboar					Generic	Imagine #28	12	AD&D1		
Wereboar					Generic	Imagine #28	12	AD&D1		
Werecats					Forgotten Realms	Hall of Heroes (FR7)	36	AD&D2		
Weredire					Generic	Dragon #40	32	AD&D1		
Weredogs					Forgotten Realms	Hall of Heroes (FR7)	36	AD&D2		
Weredolphins					Forgotten Realms	Hall of Heroes (FR7)	37	AD&D2		
Weredragon					Forgotten Realms	Halls of the High King (FA1)	47	AD&D2		
Weredragon					Generic	Dragon #134	11	AD&D1		
Weredragon					Generic	Monstrous Compendium Annual Volume Three	118	AD&D2		
Weredragons					Forgotten Realms	Hall of Heroes (FR7)	37	AD&D2		
Werejaguar					Generic	Dragon #40	32	AD&D1		
Werejaguar					Generic	Dragon #70	38	AD&D1		
Werejaguar					Generic	Imagine #28	12	AD&D1		
Werejaguar					Generic	Imagine #28	12	AD&D1		
Werejaguar					Ravenloft	Van Richten's Guide to Werebeasts (RR7)	95	AD&D2		
Werelagomorph (Were-hare)					Generic	Dragon #156	20	AD&D2		
Wereleopard					Generic	Dragon #40	32	AD&D1		
Wereleopards					Forgotten Realms	Hall of Heroes (FR7)	37	AD&D2		
Werelion					Generic	Dragon #40	32	AD&D1		
Werelion					Generic	Imagine #28	12	AD&D1		
Werelion					Generic	Imagine #28	12	AD&D1		
Weremice					Generic	Imagine #17	29	AD&D1		
Wereowls ("Wrowls")					Forgotten Realms	Hall of Heroes (FR7)	37	AD&D2		
Werepanther					Ravenloft	Dungeon #50	69	AD&D2		
Werepanthers					Forgotten Realms	Hall of Heroes (FR7)	37	AD&D2		
Wereram					Generic	Dragon #40	32	AD&D1		
Wererat Lord					Generic	Dungeon #62	55	AD&D2		
Weresabre					Generic	Dragon #40	32	AD&D1		
Wereshark					Forgotten Realms	City of Splendors		AD&D2		
Weresloth					Generic	Dragon #40	32	AD&D1		
Werespiders					Forgotten Realms	Hall of Heroes (FR7)	37	AD&D2		
Weretiger					Generic	Imagine #28	12	AD&D1		
Weretiger					Generic	Imagine #28	12	AD&D1		
Wereweasel					Generic	Dragon #40	32	AD&D1		
Werewolf					Generic	Imagine #28	12	AD&D1		
Werewolf					Generic	Imagine #28	12	AD&D1		
Werewolf					Generic	Complete Starter Set [Monstrous Manual]	23	AD&D2		
Werewolf					Generic	First Quest: The Introduction to the AD&D Game [Monsters & Treasures Book]	23	AD&D2		
Werewolf					Generic	Introduction to Advanced Dungeons & Dragons Game [Monstrous Manual Accessory]	23	AD&D2		
Werewolf/Spider/Gargoygle Meld					Generic	Wizard's Spell Compendium, Volume Four	888	AD&D2		
Wergadeam					Generic	Dragon #224	69	AD&D2		
Wezer, Brood Queen					Dark Sun	Dark Sun Boxed Set [A Little Knowledge]	16	AD&D2		
Wezer, Soldier					Dark Sun	Dark Sun Boxed Set [A Little Knowledge]	16	AD&D2		
Wezer, Water Fetcher					Dark Sun	Dark Sun Boxed Set [A Little Knowledge]	16	AD&D2		
Wezer, Worker					Dark Sun	Dark Sun Boxed Set [A Little Knowledge]	16	AD&D2		
Whale					Blackmoor	Supplement II: Blackmoor	19	D&D1		
Whale					Generic	Monster Manual	100	AD&D1		
Whale, Common					Generic	Monstrous Compendium Volume Two		AD&D2		
Whale, Common					Generic	Monstrous Manual 	358	AD&D2		
Whale, Giant					Generic	Monstrous Compendium Volume Two		AD&D2		
Whale, Giant					Generic	Monstrous Manual 	358	AD&D2		
Whale, Killer					Generic	Dragon #89 [Creature Catalog insert]	C-19	AD&D1		
Whale, Killer					Generic	Monstrous Compendium Volume Two		AD&D2		
Whale, Killer					Generic	Monstrous Manual 	358	AD&D2		
Whale, Leviathan					Generic	Monstrous Compendium Volume Two		AD&D2		
Whale, Leviathan					Generic	Monstrous Manual 	358	AD&D2		
Whale, Narwhal					Generic	Monstrous Compendium Volume Two		AD&D2		
Whale, Narwhal					Generic	Monstrous Manual 	358	AD&D2		
Whip spider					Generic	Dragon #67	17	AD&D1		
Whips					Generic	Polyhedron #36	25	AD&D1		
Whipsting					Forgotten Realms	Dragon #197	38	AD&D2		
Whipsting					Generic	Monstrous Compendium Annual Volume One 		AD&D2		
Whipsting, Stingwing					Generic	Monstrous Compendium Annual Volume One 		AD&D2		
Whipsting, Stingwings					Forgotten Realms	Dragon #197	38	AD&D2		
Whipweed					Generic	Fiend Folio	94	AD&D1		
Whirling Dervish					Generic	Polyhedron #29	24	AD&D1		
Whispering Pines					Generic	Dragon #119	51	AD&D1		
Whisps					Greyhawk	Sentinel (UK2)	29	AD&D1		
White Boar					Generic	Dungeon #37	47	AD&D2		
White Buffalo					Generic	Dungeon #78	70	AD&D2		
White Crow					Generic	Dungeon #1	23	AD&D1		
White Dragons					Dragonlance	Tales of the Lance [World Book of Ansalon]	131	AD&D2		
White Eagle					Generic	Supplement IV: Gods, Demigods, Heroes	13	D&D1		
White Eagle of Zeus					Generic	Deities and Demigods Cyclopedia	63	AD&D1		
White Eagle of Zeus					Generic	Legends & Lore	58	AD&D1		
White Fang					Mystara	Mystara Monstrous Compendium Appendix 	117	AD&D2		
White Goblin					Birthright	Blood Enemies: Abominations of Cerilia 	123	AD&D2		
White Hart					Generic	Legends & Lore	41	AD&D2		
White Stag					Forgotten Realms	Elves of Evermeet	127	AD&D2		
White Tiger					Dragonlance	Seeds of Chaos	33	AD&D2		
White Witch					Birthright	Blood Enemies: Abominations of Cerilia 	106	AD&D2		
Whiz-Bang Beetles					Generic	Dragon #29	50	AD&D1		
Wichtlin					Dragonlance	Monstrous Compendium Dragonlance Appendix (MC4)		AD&D2		
Wichtlin					Dragonlance	Tales of the Lance [World Book of Ansalon]	145	AD&D2		
Wichtlin, Wild Stag					Dragonlance	Monstrous Compendium Dragonlance Appendix (MC4)		AD&D2		
Wickedwing 					Ravenloft	Terrors from Above	151	AD&D2		
Widow, Red					Ravenloft	Monstrous Compendium Ravenloft Appendix		AD&D2		
Widow, Red					Ravenloft	Ravenloft Monstrous Compendium Appendices I & II 	65	AD&D2		
Wiggle (Hurwaet)					Spelljammer	Monstrous Compendium Spelljammer Appendix		AD&D2		
Wight					Generic	Monster Manual	100	AD&D1		
Wight					Generic	Complete Starter Set [Monstrous Manual]	24	AD&D2		
Wight					Generic	First Quest: The Introduction to the AD&D Game [Monsters & Treasures Book]	24	AD&D2		
Wight					Generic	Introduction to Advanced Dungeons & Dragons Game [Monstrous Manual Accessory]	24	AD&D2		
Wight					Generic	Monstrous Compendium Volume One		AD&D2		
Wight					Generic	Monstrous Manual 	360	AD&D2		
Wight					Generic	Dungeons & Dragons 3-Volume Set [Monsters & Treasure]	9	D&D1		
Wight, Barrier					Myth	Dragon #261	77	AD&D2		
Wight, Chaos, Frost Wight					Dragonlance	Dragon #246	98	AD&D2		
Wight, Chaos, Shadow Wight					Dragonlance	Dragon #246	98	AD&D2		
Wilbur the pig-iron pig Golem					Generic	Polyhedron #62	15	AD&D2		
Wild Hunt					Birthright	Blood Spawn	59	AD&D2		
Wild Hunt, Hounds					Generic	Priest's Spell Compendium, Volume One	93	AD&D2		
Wild Hunt, Master of the Hunt					Generic	Legends & Lore	62	AD&D2		
Wild Hunt, Master of the Hunt					Generic	Priest's Spell Compendium, Volume One	92	AD&D2		
Wild Hunt, Pack of the Wild Hunt					Generic	Legends & Lore	62	AD&D2		
Wild Hunt, The Master of the Hunt					Generic	Deities and Demigods Cyclopedia	31	AD&D1		
Wild Hunt, The Master of the Hunt					Generic	Legends & Lore	31	AD&D1		
Wild Hunt, The Pack of the Wild Hunt					Generic	Deities and Demigods Cyclopedia	31	AD&D1		
Wild Hunt, The Pack of the Wild Hunt					Generic	Legends & Lore	31	AD&D1		
Wild Turkey					Generic	Dragon #186	46	D&D?		
Will O'Wisp					Greyhawk	Supplement I: Greyhawk	35	D&D1		
Will o'Shadow					Birthright	Blood Spawn	61	AD&D2		
Will o'wisp					Generic	Monstrous Compendium Volume One		AD&D2		
Will o'wisp					Generic	Monstrous Manual 	361	AD&D2		
Will-O'-Dawn					Ravenloft	Ravenloft Monstrous Compendium Appendix III: Creatures of Darkness 	118	AD&D2		
Will-O'-Deep					Ravenloft	Ravenloft Monstrous Compendium Appendix III: Creatures of Darkness 	119	AD&D2		
Will-O'-Mist					Ravenloft	Ravenloft Monstrous Compendium Appendix III: Creatures of Darkness 	120	AD&D2		
Will-O'-Sea					Ravenloft	Ravenloft Monstrous Compendium Appendix III: Creatures of Darkness 	121	AD&D2		
Will-O-(The)-Wisp					Generic	Monster Manual	101	AD&D1		
Willow, Black					Generic	Monster Manual II	126	AD&D1		
Wind Steed					Generic	Dragon #89 [Creature Catalog insert]	C-20	AD&D1		
Wind Tarola					Jakandor	Jakandor, Island of War	76	AD&D2		
Wind Thrower					Generic	Dragon #101	55	AD&D1		
Wind Walker					Al-Qadim	Assassin Mountain (ALQ2)		AD&D2		
Wind Walker					Generic	Monster Manual	101	AD&D1		
Wind Walker					Generic	Strategic Review #3	2	D&D1		
Windghost					Forgotten Realms	Ruins of Myth Drannor		AD&D2		
Windghost					Generic	Monstrous Compendium Annual Volume One 		AD&D2		
Windigo					Generic	Dungeon #77	31	AD&D2		
Winged Folk					Generic	Dragon #51	19	AD&D1		
Winged Folk (Al Karak Elam)					Generic	Best of Dragon Magazine, Vol. III	71	AD&D1		
Winged Gaunt					Hyborea	Conan: Against Darkness! (CB2)	27	AD&D1		
Winged Ghouls					Ravenloft	Dungeon #58	53	AD&D2		
Winged Scorpion					Ravenloft	Terrors from Above	152	AD&D2		
Winged Serpent					Generic	Supplement IV: Gods, Demigods, Heroes	6	D&D1		
Winged owlbear					Generic	Dragon #214	92	AD&D2		
Wingless Wonder					Forgotten Realms	Menzoberranzan [Book One: The City]	93	AD&D2		
Wingless Wonder					Forgotten Realms	Secrets of the Magister	28	AD&D2		
Wingless Wonder					Generic	Dragon #40	64	AD&D1		
Wingless Wonder					Generic	Wizard's Spell Compendium, Volume Four	1031	AD&D2		
Wingless Wonder, Transformed					Forgotten Realms	Menzoberranzan [Book One: The City]	93	AD&D2		
Winter-Wight					Greyhawk	Return to the Tomb of Horrors [Maps & Monsters Book]	16	AD&D2		
Wirchler					Generic	Dragon #47	13	AD&D1		
Witch Owl					Ravenloft	Terrors from Above	153	AD&D2		
Witch-King Zhengyi					Forgotten Realms	Throne of Bloodstone (H4)	19	AD&D1		
Witchlight Marauder, Primary					Spelljammer	Monstrous Compendium Spelljammer Appendix II		AD&D2		
Witchlight Marauder, Remote					Spelljammer	Monstrous Compendium Spelljammer Appendix II		AD&D2		
Witchlight Marauder, Secondary					Spelljammer	Goblin's Return (SJS1)	63	AD&D2		
Witchlight Marauder, Secondary					Spelljammer	Heart of the Enemy (SJQ1)	94	AD&D2		
Witchlight Marauder, Secondary					Spelljammer	Monstrous Compendium Spelljammer Appendix II		AD&D2		
Witchlight Marauder, Space					Spelljammer	Monstrous Compendium Spelljammer Appendix II		AD&D2		
Witchlight Marauder, Tertiary					Spelljammer	Goblin's Return (SJS1)	63	AD&D2		
Witchlight Marauder, Tertiary					Spelljammer	Heart of the Enemy (SJQ1)	94	AD&D2		
Witchlight Marauder, Tertiary					Spelljammer	Monstrous Compendium Spelljammer Appendix II		AD&D2		
Witherstench (Skunk Beast)					Generic	Fiend Folio	95	AD&D1		
Witherweed					Generic	Fiend Folio	95	AD&D1		
Wiwaxia					Generic	Dragon #204	42	AD&D2		
Wizard Lice					Generic	Monstrous Compendium Annual Volume One 		AD&D2		
Wizshade					Forgotten Realms/Spelljammer	Monstrous Compendium Annual Volume Four	90	AD&D2		
Wizshade					Spelljammer	Monstrous Compendium Spelljammer Appendix		AD&D2		
Wizshade (Spellshade)					Forgotten Realms	Volo's Guide to All Things Magical	93	AD&D2		
Woblin					Generic	Dragon #32	16	AD&D1		
Wolf					Birthright	Blood Enemies: Abominations of Cerilia 	111	AD&D2		
Wolf					Generic	Dragon #102	21	AD&D1		
Wolf					Generic	Monster Manual	101	AD&D1		
Wolf					Generic	Complete Starter Set [Monstrous Manual]	24	AD&D2		
Wolf					Generic	First Quest: The Introduction to the AD&D Game [Monsters & Treasures Book]	24	AD&D2		
Wolf					Generic	Introduction to Advanced Dungeons & Dragons Game [Monstrous Manual Accessory]	24	AD&D2		
Wolf					Generic	Monstrous Compendium Volume One		AD&D2		
Wolf					Generic	Monstrous Manual 	362	AD&D2		
Wolf					Greyhawk	Howl from the North (WGS2)	49	AD&D2		
Wolf					Lankhmar	Fritz Leiber's Lankhmar [Adventures in Lankhmar Sourcebook]	96	AD&D2		
Wolf Morash					Jakandor	Jakandor, Island of War	76	AD&D2		
Wolf spider					Generic	Dragon #67	17	AD&D1		
Wolf, Dire					Generic	Dragon #102	21	AD&D1		
Wolf, Dire					Generic	Monster Manual	101	AD&D1		
Wolf, Dire					Generic	Monstrous Manual 	362	AD&D2		
Wolf, Dire (Worg)					Generic	Monster Manual	101	AD&D1		
Wolf, Dread					Generic	Monstrous Compendium Annual Volume One 		AD&D2		
Wolf, Mist					Greyhawk	Greyhawk Adventures	32	AD&D1		
Wolf, Mist					Greyhawk	Monstrous Compendium Greyhawk Appendix		AD&D2		
Wolf, Stone					Generic	Monstrous Compendium Annual Volume One 		AD&D2		
Wolf, Vampiric					Generic	Monstrous Compendium Annual Volume One 		AD&D2		
Wolf, Winter					Generic	Monster Manual	101	AD&D1		
Wolf, Winter					Generic	Monstrous Compendium Volume One		AD&D2		
Wolf, Winter					Generic	Monstrous Manual 	362	AD&D2		
Wolf, Worg					Generic	Complete Starter Set [Monstrous Manual]	24	AD&D2		
Wolf, Worg					Generic	First Quest: The Introduction to the AD&D Game [Monsters & Treasures Book]	24	AD&D2		
Wolf, Worg					Generic	Introduction to Advanced Dungeons & Dragons Game [Monstrous Manual Accessory]	24	AD&D2		
Wolf, Worg/Dire					Generic	Monstrous Compendium Volume One		AD&D2		
Wolf, Worg/Dire					Generic	Monstrous Compendium Volume One		AD&D2		
Wolf, Zombie					Generic	Monstrous Compendium Annual Volume One 		AD&D2		
Wolf-In-Sheep's-Clothing					Generic	Monster Manual II	127	AD&D1		
Wolfhound					Generic	Imagine #17	30	AD&D1		
Wolfman					Generic	Imagine #28	12	AD&D1		
Wolfman					Generic	Imagine #28	12	AD&D1		
